Parking Spots ,People/ ha 
512,38
497,9
140,202
40,13
0,29
130,28
126,22
225,10
18,6
200,15
19,0.54
140,30
250,40
10,4.4
60,0
0,3.8
13,5.5
0,20
35,15
0,0
0,9.3
21,6.3
18,8.7
0,6.8
0,11
265,10
212,12
179,64
0,5.85
215,10.5
512,228
497,43
140,20
40,91
0,6.6
130,80
126,162
225,75
18,10
200,75
19,0.39
140,50
250,104
512,39
497,20
140,27
40,62
0,0.69
130,84
126,48
190,273
225,48
200,31
19,0.26
140,1.2
250,6.6
512,12.6
497,0.86
140,29
40,13
0,5.4
130,6.4
126,6.7
190,125
225,80
18,5.87
200,9.4
19,0.3
140,0.36
250,101
10,4.8
60,156
0,3.12
13,15
0,7.46
35,88.8
0,14
0,18.8
21,19
18,26
0,2.6
0,3.8
265,2
212,5.4
179,7
0,2.5
215,5
512,5.6
497,0.84
140,93
40,83
0,21
130,3.3
126,27
190,30
225,10
18,6.3
200,33
19,0.99
140,10.75
250,74
10,12.5
60,101
0,4.3
13,23
0,73
35,6.5
0,15
0,47
21,0
18,20
0,9
0,10.35
265,12.6
212,35
179,19.5
0,6.44
