People/Ha,Ha
38,1
9,5.2
202,3.6
13,2.7
29,4.4
28,2.4
22,0.98
,
10,4.96
6,10.09
15,2
0.54,14.7
30,1.61
40,3.12
4.4,2.91
0,0.44
3.8,5.43
5.5,1.79
20,2.33
15,1.39
0,1.17
9.3,1.92
6.3,0.79
8.7,1.14
6.8,0.73
11,4.47
10,3.67
12,3.32
64,4.35
5.85,10.41
10.5,5.33
228,0.78
43,6.1
20,3.83
91,2.4
6.6,4.5
80,2.6
162,1.46
512,0.48
75,5.6
10,10.48
75,2.55
0.39,17.82
50,3.01
104,3.2
39,1.33
20,5.6
27,3.84
62,2.43
0.69,4.3
84,2.5
48,1.22
273,0.45
48,5.25
,
31,2.21
0.26,15.53
1.2,2.45
6.6,2.58
12.6,1.35
0.86,5.8
29,3.8
13,2.33
5.4,4.2
6.4,2.8
6.7,1.34
125,1.2
80,5.45
5.87,10.55
9.4,2.34
0.3,16.21
0.36,2.77
101,2.89
4.8,2.91
156,0.64
3.12,5.45
15,1.87
7.46,2.41
88.8,1.25
14,1.22
18.8,2.18
19,0.84
26,1.17
2.6,0.75
3.8,4.97
2,3.84
5.4,3.5
7,4.66
2.5,10.46
5,6.12
5.6,1.41
0.84,5.9
93,3.87
83,2.13
21,4.18
3.3,2.74
27,1.28
30,1.86
10,5.38
6.3,10.67
33,2.38
0.99,16.18
10.75,2.79
74,2.76
12.5,2.96
101,0.71
4.3,5.64
23,1.65
73,2.45
6.5,1.22
15,1.27
47,2.22
0,0.78
20,1.7
9,0.67
10.35,5.12
12.6,3.89
35,3.48
19.5,4.77
6.44,10.24
1.6,6.84
