Parking Spaces,People Ha
140,202
40,13
130,28
126,22
225,10
18,6
200,15
19,0.54
140,30
250,40
10,4.4
13,5.5
35,15
21,6.3
18,8.7
265,10
212,12
179,64
215,10.5
176,252
497,43
140,20
40,91
130,80
126,162
225,75
18,10
200,75
19,0.39
140,50
250,104
140,27
40,62
130,84
126,48
190,273
225,48
200,31
19,0.26
140,1.2
250,6.6
140,29
40,13
130,6.4
126,6.7
190,125
225,80
18,5.87
200,9.4
19,0.3
140,0.36
250,101
10,4.8
60,156
13,15
35,88.8
21,19
18,26
265,2
212,5.4
179,7
215,5
140,93
40,83
130,3.3
126,27
190,30
225,10
18,6.3
200,33
19,0.99
140,10.75
250,74
10,12.5
60,101
13,23
35,6.5
21,0
18,20
265,12.6
212,35
179,19.5
